Front %,Back %,FR,FL,BL,BR,millis
50,50,171,242,165,170,4
3.23,96.77,169,245,166,170,258
66.13,33.87,166,247,166,169,510
6.25,93.75,167,235,166,170,763
16.67,83.33,167,238,169,169,1017
6.25,93.75,168,241,167,168,1270
99.34,0.66,168,258,168,167,1523
89.06,10.94,166,260,165,166,1777
0.33,99.67,167,230,109,230,2030
8.23,91.77,201,208,180,282,2283
21.06,78.94,211,240,162,319,2536
36.08,63.92,232,307,205,329,2790
33.98,66.02,255,303,232,338,3044
31.38,68.62,249,279,224,335,3298
37.57,62.43,253,324,231,337,3552
49.09,50.91,183,306,163,209,3805
99.64,0.36,160,322,162,139,4058
81.95,18.05,170,321,178,148,4312
99.79,0.21,155,335,154,127,4564
95.65,4.35,161,363,164,136,4817
99.82,0.18,151,336,154,143,5070
99.89,0.11,150,425,142,159,5323
51.01,48.99,168,301,146,242,5576
22.28,77.72,192,268,176,259,5830
1.96,98.04,199,193,184,258,6083
0.24,99.76,180,155,152,251,6336
7.09,92.91,185,162,155,275,6590
12.24,87.76,206,159,176,293,6843
16.79,83.21,221,154,199,312,7097
25.05,74.95,210,158,178,300,7350
16.71,83.29,225,171,198,315,7604
0.3,99.7,191,189,178,231,7857
63.34,36.66,179,316,172,212,8111
50,50,110,147,110,108,8363
50,50,115,163,111,119,8615
50,50,112,168,110,105,8868
50,50,110,166,103,100,9121
50,50,118,155,112,125,9374
50,50,114,165,109,112,9627
50,50,115,166,110,113,9879
50,50,116,167,112,112,10132
50,50,118,166,112,123,10385
50,50,124,171,118,128,10638
50,50,126,165,119,127,10891
13.8,86.2,200,195,159,310,11145
36.72,63.28,216,295,186,311,11398
31.6,68.4,228,282,201,328,11652
38.66,61.34,253,323,218,368,11906
42.63,57.37,268,356,237,388,12160
44.25,55.75,267,367,234,382,12413
43.79,56.21,257,357,226,356,12667
47.16,52.84,214,341,185,300,12921
87.07,12.93,171,383,159,194,13174
99.86,0.14,143,378,127,149,13427
99.88,0.12,155,399,158,141,13680
95.99,4.01,164,436,174,139,13934
99.88,0.12,164,408,166,154,14187
73.28,26.72,169,395,151,219,14440
36.84,63.16,204,315,188,280,14694
12.97,87.03,210,211,183,301,14948
14.53,85.47,220,169,196,297,15201
17.73,82.27,202,178,177,298,15455
23.7,76.3,216,175,182,345,15708
22.29,77.71,227,184,193,346,15962
21.2,78.8,238,147,206,338,16215
20.46,79.54,218,162,193,295,16468
20.49,79.51,194,264,169,255,16722
55.95,44.05,167,338,157,247,16975
69.3,30.7,150,352,121,237,17229
63.38,36.62,157,321,141,202,17482
99.82,0.18,151,348,146,154,17735
96.74,3.26,147,338,139,162,17989
50,50,127,151,122,136,18241
50,50,122,178,119,126,18494
50,50,128,159,122,131,18747
50,50,123,179,114,135,19000
50,50,124,180,118,130,19253
50,50,126,182,119,133,19506
50,50,127,186,119,133,19759
50,50,128,178,123,140,20012
50,50,127,179,121,135,20263
50,50,130,179,125,135,20516
50,50,135,177,130,137,20769
50,50,135,160,132,137,21022
0.19,99.81,194,166,165,275,21275
34.96,65.04,223,304,201,293,21529
37.72,62.28,238,317,215,325,21783
40.49,59.51,255,339,232,347,22037
40.47,59.53,257,334,228,360,22291
45.58,54.42,238,346,202,328,22544
66.9,33.1,191,412,162,250,22798
73.88,26.12,180,425,159,234,23051
76.6,23.4,160,455,146,236,23305
68.67,31.33,179,447,141,267,23558
60.99,39.01,196,441,161,305,23812
51.29,48.71,227,396,195,352,24066
40,60,212,315,187,302,24320
17.71,82.29,232,195,205,323,24572
18.49,81.51,240,158,216,326,24826
21.95,78.05,265,199,242,353,25080
23.99,76.01,283,186,258,372,25333
25.47,74.53,271,158,231,382,25587
24.09,75.91,259,171,228,338,25840
50.79,49.21,190,313,170,224,26094
99.86,0.14,144,382,135,164,26347
99.76,0.24,125,336,117,129,26600
99.8,0.2,122,321,122,117,26853
99.8,0.2,134,372,138,115,27106
99.8,0.2,110,333,113,77,27359
50,50,120,167,117,136,27612
50,50,124,148,118,140,27865
50,50,132,155,130,130,28118
50,50,132,165,128,128,28370
50,50,130,164,130,122,28623
50,50,134,163,131,126,28876
50,50,128,159,123,132,29129
50,50,130,164,131,124,29381
50,50,134,158,133,126,29634
11.9,88.1,219,210,198,304,29888
25.26,74.74,247,272,228,328,30142
29.08,70.92,247,277,220,329,30396
19.69,80.31,230,202,204,315,30649
19.51,80.49,234,139,208,344,30903
18.92,81.08,245,149,220,326,31157
23.23,76.77,233,173,210,318,31410
24.66,75.34,255,167,216,371,31664
27.9,72.1,204,144,197,350,31917
23.44,76.56,244,133,205,361,32171
22.4,77.6,236,194,203,348,32424
22.66,77.34,194,262,166,261,32678
40.28,59.72,207,315,188,270,32931
53.38,46.62,187,338,161,248,33185
56.97,43.03,190,357,167,266,33439
50.51,49.49,206,358,178,310,33692
44,56,206,339,180,305,33946
57.09,42.91,194,350,180,239,34200
31.07,68.93,208,298,191,261,34454
28.77,71.23,215,273,196,290,34708
22.27,77.73,226,259,202,312,34961
